Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(бу)	magx	magy	magz	lon	lat	Yaw	Speed	q1	q2	q3	q4
 2076-28-187 8:0:5.319	0.0	0.0	1.0146	0.0	0.0	0.0	0.258	-1.637	68.236	28.86	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:5.410	0.0	0.0	1.0156	0.0	0.0	0.0	0.253	-1.642	68.236	28.92	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:5.410	0.0	0.0	1.0156	0.0	0.0	0.0	0.253	-1.642	68.236	28.92	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:5.524	0.0	0.0	1.0151	0.0	0.0	0.0	0.253	-1.637	68.236	28.92	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:5.524	0.0	0.0	1.0151	0.0	0.0	0.0	0.253	-1.637	68.236	28.92	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:5.614	0.0005	0.0	1.0151	0.0	0.0	0.0	0.253	-1.642	68.236	28.89	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:5.614	0.0005	0.0	1.0151	0.0	0.0	0.0	0.253	-1.642	68.236	28.89	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:5.715	0.0	0.0	1.0146	0.0	0.0	0.0	0.258	-1.642	68.236	28.92	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:5.715	0.0	0.0	1.0146	0.0	0.0	0.0	0.258	-1.642	68.236	28.92	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:5.794	0.0	0.0	1.0156	0.0	0.0	0.0	0.258	-1.642	68.236	28.86	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
