Time,X,Y,Z
3.857,0.00565,-0.31176,-0.21393
3.866,-0.01176,-0.32404,-0.19347
3.876,-0.02826,-0.33522,-0.17131
3.885,-0.04425,-0.34335,-0.14881
3.895,-0.05954,-0.34901,-0.12636
3.905,-0.07346,-0.35401,-0.10291
3.914,-0.08563,-0.3566,-0.0
3.924,-0.09644,-0.35786,-0.06206
3.933,-0.10636,-0.35799,-0.04455
3.943,-0.11791,-0.35666,-0.02824
3.952,-0.12801,-0.35335,-0.01155
3.962,-0.13829,-0.3491,0.00552
3.972,-0.1487,-0.34257,0.02238
3.981,-0.15901,-0.33573,0.03795
3.991,-0.16888,-0.32752,0.05356
4.0,-0.17892,-0.31985,0.0696
4.009,-0.18865,-0.31073,0.08559
4.028,-0.20678,-0.29015,0.11842
4.038,-0.21827,-0.27867,0.13213
4.047,-0.23117,-0.26515,0.14411
4.057,-0.24442,-0.25059,0.15356
4.066,-0.25858,-0.23518,0.16048
4.076,-0.27152,-0.21951,0.16605
4.085,-0.285,-0.20574,0.1709
4.095,-0.29766,-0.19233,0.17483
4.104,-0.30938,-0.17929,0.17767
4.114,-0.3209,-0.16562,0.17905
4.123,-0.33121,-0.15347,0.17952
4.133,-0.34119,-0.14088,0.1799
4.142,-0.34941,-0.12926,0.17994
4.151,-0.35691,-0.11732,0.18045
4.161,-0.36359,-0.10593,0.18143
4.17,-0.36932,-0.09484,0.18262
4.18,-0.37399,-0.08312,0.18333
4.189,-0.37866,-0.07208,0.18365
4.199,-0.38301,-0.06137,0.18234
4.208,-0.38646,-0.05035,0.18019
4.227,-0.39314,-0.0219,0.17516
4.237,-0.3948,-0.00152,0.17215
4.246,-0.39573,0.02167,0.1694
4.255,-0.39582,0.04112,0.16728
4.265,-0.39432,0.05669,0.16572
4.274,-0.39223,0.06945,0.1643
4.284,-0.389,0.08058,0.16349
4.293,-0.38534,0.08905,0.16265
4.302,-0.38163,0.09558,0.16248
4.312,-0.37964,0.10016,0.16229
4.321,-0.37556,0.10355,0.16211
4.33,-0.37235,0.10639,0.162
4.34,-0.36966,0.10768,0.1614
4.349,-0.36724,0.10915,0.15983
4.359,-0.36441,0.11021,0.15799
4.368,-0.36175,0.11074,0.15595
4.377,-0.35847,0.11004,0.15289
4.387,-0.35696,0.10855,0.14837
4.396,-0.35648,0.10664,0.14287
4.405,-0.35622,0.10386,0.13584
4.415,-0.35673,0.10041,0.12765
4.424,-0.35786,0.09655,0.11555
4.433,-0.35862,0.09199,0.10164
4.443,-0.35848,0.08819,0.08383
4.452,-0.35814,0.08455,0.06303
4.462,-0.35628,0.08251,0.04092
4.471,-0.35297,0.08139,0.01868
4.48,-0.34994,0.08136,-0.0024
4.49,-0.34554,0.08086,-0.02251
4.499,-0.33939,0.08131,-0.04237
4.509,-0.33263,0.0806,-0.06118
4.528,-0.317,0.07454,-0.0959
4.537,-0.30647,0.06998,-0.11367
4.547,-0.29453,0.06434,-0.1327
4.556,-0.28072,0.05926,-0.15219
4.566,-0.26404,0.05416,-0.17248
4.575,-0.24523,0.04963,-0.19362
4.585,-0.22406,0.0455,-0.21467
4.594,-0.20049,0.0425,-0.23394
4.603,-0.17895,0.03777,-0.25186
4.613,-0.15869,0.03253,-0.26754
4.622,-0.13888,0.02733,-0.28164
4.632,-0.12063,0.02129,-0.29349
4.641,-0.1036,0.01442,-0.30435
4.651,-0.08487,0.00654,-0.31301
4.66,-0.06489,-0.0036,-0.32019
4.67,-0.04522,-0.01666,-0.32638
4.679,-0.02245,-0.03267,-0.33104
4.689,0.00214,-0.05132,-0.33377
4.698,0.02831,-0.07116,-0.33481
4.708,0.05776,-0.09195,-0.33314
4.717,0.08916,-0.114,-0.3291
4.727,0.12485,-0.13485,-0.32373
4.736,0.15299,-0.15323,-0.31747
4.746,0.17294,-0.16844,-0.31003
4.755,0.18895,-0.182,-0.30197
4.765,0.20122,-0.1928,-0.29375
4.774,0.21129,-0.20374,-0.2841
4.784,0.22059,-0.21562,-0.27168
4.793,0.22961,-0.22734,-0.25664
4.803,0.23805,-0.23879,-0.23873
4.812,0.24655,-0.2503,-0.21884
4.831,0.25878,-0.27665,-0.16421
4.841,0.265,-0.28777,-0.1327
4.85,0.27102,-0.29573,-0.10346
4.86,0.27744,-0.29979,-0.07941
4.869,0.28498,-0.30086,-0.06194
4.879,0.29241,-0.29863,-0.04724
4.888,0.30189,-0.29414,-0.0344
4.897,0.31221,-0.28667,-0.0226
4.907,0.32219,-0.27598,-0.00913
4.916,0.33062,-0.26413,0.00425
4.926,0.33783,-0.252,0.01712
4.935,0.34447,-0.23992,0.03002
4.945,0.35096,-0.22759,0.0425
4.954,0.35603,-0.21583,0.05536
4.963,0.36095,-0.20462,0.06877
4.973,0.36511,-0.19498,0.08223
4.982,0.3694,-0.18532,0.09721
4.991,0.37371,-0.17541,0.11209
5.001,0.37792,-0.16573,0.12645
5.01,0.38146,-0.15481,0.1395
5.02,0.38624,-0.14319,0.15
5.029,0.38984,-0.13066,0.15795
5.038,0.39268,-0.11913,0.16302
5.048,0.39684,-0.10669,0.16588
5.057,0.40081,-0.09375,0.16785
5.066,0.40477,-0.07908,0.16956
5.076,0.40829,-0.06399,0.171
5.085,0.41134,-0.04618,0.17173
5.094,0.41487,-0.0261,0.17222
5.104,0.41803,-0.00294,0.17202
5.113,0.42028,0.02328,0.172
5.132,0.42303,0.06342,0.16801
5.141,0.42445,0.08032,0.16436
5.15,0.42653,0.09379,0.15827
5.159,0.42739,0.10642,0.1506
5.169,0.42866,0.11763,0.14007
5.178,0.42922,0.12644,0.12622
5.187,0.42906,0.13409,0.10826
5.197,0.42872,0.13937,0.08399
5.206,0.42685,0.14282,0.05674
5.215,0.42515,0.14467,0.02632
5.224,0.42186,0.14494,-0.00399
5.234,0.41873,0.14447,-0.03193
5.243,0.41497,0.142,-0.05745
5.252,0.41017,0.13899,-0.08121
5.262,0.40419,0.13376,-0.10277
5.271,0.39789,0.12856,-0.12336
5.281,0.39154,0.12269,-0.14292
5.29,0.38412,0.1175,-0.16323
5.299,0.37615,0.11122,-0.18428
5.309,0.36684,0.10424,-0.20532
5.318,0.35848,0.09819,-0.22509
5.327,0.34815,0.09123,-0.2439
5.337,0.33731,0.0826,-0.26186
5.346,0.32664,0.07312,-0.27796
5.356,0.3163,0.06306,-0.29219
5.365,0.30622,0.0522,-0.30439
5.374,0.29702,0.04141,-0.31403
5.384,0.28693,0.03006,-0.32265
5.393,0.27763,0.01797,-0.32965
5.402,0.26829,0.00498,-0.33566
5.412,0.25723,-0.01187,-0.34013
5.421,0.24513,-0.0342,-0.34344
5.431,0.23206,-0.06017,-0.34629
5.44,0.21825,-0.08592,-0.34658
5.45,0.20361,-0.11081,-0.3461
5.459,0.18932,-0.13294,-0.34504
5.469,0.17528,-0.15179,-0.34309
