,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Angular_velocity_X (dps),Angular_velocity_Y (dps),Angular_velocity_Z (dps),Temperature (°C),Longitude,Latitude,Time,X,Y,Z,Magnitude,Filtered Magnitude
2025-02-05 05:00:39.006,,,,,,,,,,8.107777904198429,0.48881555922175446,0.44129223006030266,0.3592166662874047,0.7501442290362954,0.7496988903174422
2025-02-05 05:00:39.007,,,,,,,,,,8.108888952099214,0.4888477796108772,0.4413611150301513,0.35921333314370235,0.7502041145181477,0.7497114451587211
2025-02-05 05:00:39.008,,,,,,,,,,8.11,0.48888,0.44143,0.35921,0.750264,0.749724
2025-02-05 05:00:39.009,,,,,,,,,,8.110899953919409,0.4887970042496544,0.4413860022528288,0.35917600174082226,0.7501677049306231,0.7497226000716809
2025-02-05 05:00:39.010,-0.0004723618090452259,-8.793969849246232e-05,0.02127386934673367,0.0,0.0,0.0,28.34,106.60249414597989,35.2044629039196,8.11179990783882,0.4887140084993088,0.44134200450565764,0.35914200348164455,0.7500714098612462,0.7497212001433617
2025-02-05 05:00:39.011,,,,,,,,,,8.112700092161178,0.48863099150069117,0.44129799549434234,0.3591079965183554,0.7499750901387539,0.7497197998566382
2025-02-05 05:00:39.012,,,,,,,,,,8.11360004608059,0.4885479957503456,0.44125399774717117,0.3590739982591777,0.7498787950693769,0.749718399928319
2025-02-05 05:00:39.013,,,,,,,,,,8.1145,0.488465,0.44121,0.35904,0.7497825,0.749717
2025-02-05 05:00:39.014,,,,,,,,,,8.11540018432236,0.4883819830013824,0.44116599098868464,0.3590059930367109,0.7496861802775076,0.7497155997132763
2025-02-05 05:00:39.015,,,,,,,,,,8.116300138241769,0.4882989872510368,0.44112199324151347,0.35897199477753317,0.7495898852081306,0.7497141997849572
2025-02-05 05:00:39.016,,,,,,,,,,8.117200092161179,0.48821599150069117,0.44107799549434235,0.35893799651835545,0.7494935901387538,0.7497127998566382
2025-02-05 05:00:39.017,,,,,,,,,,8.11810004608059,0.4881329957503456,0.44103399774717117,0.35890399825917774,0.7493972950693769,0.749711399928319
2025-02-05 05:00:39.018,,,,,,,,,,8.119,0.48805,0.44099,0.35887,0.749301,0.74971
2025-02-05 05:00:39.019,,,,,,,,,,8.120000170663026,0.48803999829336975,0.4409844434963165,0.3588466626845294,0.7492801075461502,0.7497094443496316
2025-02-05 05:00:39.020,-0.00048743718592964827,-8.542713567839192e-05,0.02125175879396985,0.0,0.0,0.0,28.34,106.60249414180903,35.204462897236176,8.121000085331513,0.4880299991466849,0.4409788884148249,0.3588233313422647,0.7492592204397417,0.7497088888414825
2025-02-05 05:00:39.021,,,,,,,,,,8.122,0.48802,0.44097333333333333,0.3588,0.7492383333333333,0.7497083333333333
2025-02-05 05:00:39.022,,,,,,,,,,8.123000170663026,0.4880099982933697,0.4409677768296498,0.3587766626845294,0.7492174408794835,0.7497077776829649
2025-02-05 05:00:39.023,,,,,,,,,,8.124000085331513,0.48799999914668485,0.44096222174815825,0.35875333134226467,0.749196553773075,0.7497072221748158
2025-02-05 05:00:39.024,,,,,,,,,,8.125,0.48799,0.44095666666666666,0.35873,0.7491756666666667,0.7497066666666666
2025-02-05 05:00:39.025,,,,,,,,,,8.125999914668487,0.4879800008533151,0.4409511115851751,0.3587066686577353,0.7491547795602583,0.7497061111585175
2025-02-05 05:00:39.026,,,,,,,,,,8.126999829336974,0.48797000170663024,0.4409455565036835,0.3586833373154706,0.7491338924538499,0.7497055556503683
2025-02-05 05:00:39.027,,,,,,,,,,8.128,0.48796,0.44094,0.35866,0.749113,0.749705
2025-02-05 05:00:39.028,,,,,,,,,,8.129111047900786,0.48796,0.44092111218568664,0.3586955535328251,0.7491188885538742,0.7497017779610877
2025-02-05 05:00:39.029,,,,,,,,,,8.130222095801571,0.48796,0.44090222437137333,0.35873110706565026,0.7491247771077484,0.7496985559221754
2025-02-05 05:00:39.030,-0.0005025125628140702,-8.291457286432158e-05,0.02122964824120603,0.0,0.0,0.0,28.34,106.60249413763819,35.20446289055276,8.131333428148823,0.48796,0.44088333172147004,0.3587666697007623,0.7491306671691887,0.7496953330583684
2025-02-05 05:00:39.031,,,,,,,,,,8.132444476049608,0.48796,0.4408644439071567,0.35880222323358746,0.7491365557230629,0.7496921110194561
2025-02-05 05:00:39.032,,,,,,,,,,8.133555523950392,0.48796,0.4408455560928433,0.35883777676641254,0.7491424442769371,0.7496888889805439
2025-02-05 05:00:39.033,,,,,,,,,,8.134666571851177,0.48796,0.44082666827852995,0.3588733302992377,0.7491483328308113,0.7496856669416315
2025-02-05 05:00:39.034,,,,,,,,,,8.135777619751963,0.48796,0.44080778046421665,0.3589088838320628,0.7491542213846855,0.7496824449027193
2025-02-05 05:00:39.035,,,,,,,,,,8.136888952099214,0.48796,0.44078888781431336,0.3589444464671749,0.7491601114461258,0.7496792220389122
2025-02-05 05:00:39.036,,,,,,,,,,8.138,0.48796,0.44077,0.35898,0.749166,0.749676
2025-02-05 05:00:39.037,,,,,,,,,,8.138899930880884,0.48796999923200984,0.44076000076799016,0.3589660010751863,0.749159900468474,0.74966580078335
2025-02-05 05:00:39.038,,,,,,,,,,8.13980009215882,0.4879800010239869,0.4407499989760131,0.35895199856641835,0.749153799375368,0.7496555989555334
2025-02-05 05:00:39.039,,,,,,,,,,8.140700023039706,0.4879900002559967,0.4407399997440033,0.3589379996416046,0.749147699843842,0.7496453997388833
2025-02-05 05:00:39.040,-0.0005175879396984925,-8.040201005025125e-05,0.02120753768844221,0.0,0.0,0.0,28.34,106.60249413346733,35.20446288386935,8.14159995392059,0.48799999948800654,0.44073000051199346,0.3589240007167908,0.749141600312316,0.7496352005222333
2025-02-05 05:00:39.041,,,,,,,,,,8.142499884801474,0.4880099987200164,0.4407200012799836,0.3589100017919771,0.74913550078079,0.7496250013055833
2025-02-05 05:00:39.042,,,,,,,,,,8.14339981568236,0.4880199979520262,0.4407100020479738,0.3588960028671633,0.749129401249264,0.7496148020889333
2025-02-05 05:00:39.043,,,,,,,,,,8.144299976960294,0.4880299997440033,0.4407000002559967,0.3588820003583954,0.749123300156158,0.7496046002611166
2025-02-05 05:00:39.044,,,,,,,,,,8.14519990784118,0.4880399989760131,0.4406900010239869,0.35886800143358166,0.749117200624632,0.7495944010444666
2025-02-05 05:00:39.045,,,,,,,,,,8.146099838722064,0.4880499982080229,0.4406800017919771,0.35885400250876787,0.7491111010931061,0.7495842018278166
2025-02-05 05:00:39.046,,,,,,,,,,8.147,0.48806,0.44067,0.35884,0.749105,0.749574
2025-02-05 05:00:39.047,,,,,,,,,,8.147999943110706,0.4880733325748094,0.44065000113778585,0.35882000113778584,0.749092334053931,0.7495651116167937
2025-02-05 05:00:39.048,,,,,,,,,,8.148999886221413,0.48808666514961885,0.44063000227557175,0.35880000227557174,0.7490796681078621,0.7495562232335874
2025-02-05 05:00:39.049,,,,,,,,,,8.14999982933212,0.48809999772442825,0.4406100034133576,0.3587800034133576,0.7490670021617931,0.7495473348503812
2025-02-05 05:00:39.050,-0.0005326633165829145,-7.788944723618091e-05,0.021185427135678392,0.0,0.0,0.0,28.34,106.60249412929647,35.204462877185925,8.150999772442827,0.4881133302992377,0.4405900045511435,0.3587600045511435,0.7490543362157241,0.7495384464671748
2025-02-05 05:00:39.051,,,,,,,,,,8.151999971555353,0.4881266662874047,0.44057000056889295,0.35874000056889294,0.7490416670269655,0.7495295558083969
2025-02-05 05:00:39.052,,,,,,,,,,8.15299991466606,0.48813999886221415,0.4405500017066788,0.3587200017066788,0.7490290010808965,0.7495206674251905
2025-02-05 05:00:39.053,,,,,,,,,,8.153999857776768,0.48815333143702355,0.44053000284446464,0.3587000028444646,0.7490163351348276,0.7495117790419843
2025-02-05 05:00:39.054,,,,,,,,,,8.155000056889294,0.4881666674251906,0.44050999886221415,0.35867999886221413,0.7490036659460689,0.7495028883832062
2025-02-05 05:00:39.055,,,,,,,,,,8.156,0.48818,0.44049,0.35866,0.748991,0.749494
2025-02-05 05:00:39.056,,,,,,,,,,8.156999943110707,0.4881700005688929,0.44054444134713844,0.3587144413471385,0.7490426637273865,0.7494915556946182
2025-02-05 05:00:39.057,,,,,,,,,,8.157999886221413,0.4881600011377859,0.44059888269427694,0.3587688826942769,0.749094327454773,0.7494891113892366
2025-02-05 05:00:39.058,,,,,,,,,,8.158999829332119,0.4881500017066788,0.4406533240414154,0.3588233240414154,0.7491459911821595,0.7494866670838548
2025-02-05 05:00:39.059,,,,,,,,,,8.160000028444646,0.48813999971555355,0.44070777932643074,0.3588777793264308,0.7491976681363067,0.7494842221526908
2025-02-05 05:00:39.060,-0.0005477386934673368,-7.537688442211052e-05,0.021163316582914572,0.0,0.0,0.0,28.34,106.60249412512562,35.20446287050251,8.160999971555354,0.4881300002844465,0.44076222067356924,0.3589322206735692,0.7492493318636932,0.7494817778473092
2025-02-05 05:00:39.061,,,,,,,,,,8.16199991466606,0.4881200008533394,0.4408166620207077,0.3589866620207077,0.7493009955910798,0.7494793335419274
