Time,X,Y,Z,Magnitude,Filtered Magnitude,Timestamp
1.677000,0.488030,0.440490,0.359520,0.749306,0.749158,2025-02-05 05:00:32.576
1.686000,0.487850,0.440890,0.359490,0.749410,0.749201,2025-02-05 05:00:32.576
1.695000,0.487730,0.440510,0.359820,0.749266,0.749217,2025-02-05 05:00:32.576
1.705000,0.487820,0.440730,0.359600,0.749349,0.749234,2025-02-05 05:00:32.604
1.714000,0.487830,0.440330,0.359660,0.749149,0.749169,2025-02-05 05:00:32.604
1.723000,0.487510,0.440960,0.359420,0.749196,0.749159,2025-02-05 05:00:32.604
1.733000,0.486940,0.441110,0.359220,0.748817,0.749101,2025-02-05 05:00:32.632
1.742000,0.487530,0.440790,0.359290,0.749046,0.749117,2025-02-05 05:00:32.632
1.751000,0.487270,0.440250,0.359550,0.748684,0.749115,2025-02-05 05:00:32.632
1.760000,0.488100,0.440700,0.359410,0.749422,0.749165,2025-02-05 05:00:32.659
1.770000,0.487860,0.440410,0.359220,0.749004,0.749134,2025-02-05 05:00:32.659
1.779000,0.487190,0.440470,0.359620,0.748795,0.749073,2025-02-05 05:00:32.659
1.788000,0.487660,0.440810,0.359330,0.749162,0.749063,2025-02-05 05:00:32.687
1.798000,0.487820,0.440920,0.359800,0.749556,0.749083,2025-02-05 05:00:32.687
1.807000,0.487730,0.440940,0.359510,0.749370,0.749105,2025-02-05 05:00:32.687
1.816000,0.487930,0.440430,0.359740,0.749311,0.749117,2025-02-05 05:00:32.715
1.825000,0.487840,0.440050,0.359760,0.749039,0.749139,2025-02-05 05:00:32.715
1.835000,0.487510,0.439760,0.359430,0.748495,0.749084,2025-02-05 05:00:32.715
1.844000,0.488130,0.440480,0.359560,0.749384,0.749154,2025-02-05 05:00:32.743
1.853000,0.487760,0.440220,0.359070,0.748755,0.749087,2025-02-05 05:00:32.743
1.863000,0.487500,0.440280,0.359100,0.748636,0.749050,2025-02-05 05:00:32.743
1.872000,0.487690,0.441040,0.359190,0.749250,0.749096,2025-02-05 05:00:32.771
1.881000,0.487610,0.440530,0.359120,0.748864,0.749066,2025-02-05 05:00:32.771
1.890000,0.487810,0.440900,0.359360,0.749327,0.749043,2025-02-05 05:00:32.771
1.900000,0.488050,0.440680,0.359550,0.749445,0.749051,2025-02-05 05:00:32.799
1.909000,0.487640,0.439910,0.359150,0.748533,0.748973,2025-02-05 05:00:32.799
1.918000,0.488460,0.440580,0.359370,0.749567,0.749026,2025-02-05 05:00:32.799
1.928000,0.488110,0.440650,0.359050,0.749227,0.749099,2025-02-05 05:00:32.827
1.937000,0.487760,0.440490,0.359360,0.749053,0.749066,2025-02-05 05:00:32.827
1.946000,0.488580,0.440470,0.359300,0.749547,0.749145,2025-02-05 05:00:32.827
1.955000,0.488230,0.440470,0.359380,0.749357,0.749217,2025-02-05 05:00:32.855
1.965000,0.488090,0.440470,0.359050,0.749108,0.749203,2025-02-05 05:00:32.855
1.974000,0.487860,0.441140,0.359190,0.749419,0.749258,2025-02-05 05:00:32.855
1.983000,0.487620,0.440960,0.359120,0.749124,0.749238,2025-02-05 05:00:32.882
1.993000,0.487810,0.441110,0.359360,0.749451,0.749239,2025-02-05 05:00:32.882
2.002000,0.488160,0.441620,0.359220,0.749912,0.749376,2025-02-05 05:00:32.882
2.011000,0.488300,0.441260,0.358870,0.749623,0.749382,2025-02-05 05:00:32.910
2.020000,0.488420,0.440720,0.359170,0.749527,0.749412,2025-02-05 05:00:32.910
2.030000,0.488000,0.440830,0.359110,0.749290,0.749436,2025-02-05 05:00:32.910
2.039000,0.487740,0.440840,0.359030,0.749088,0.749390,2025-02-05 05:00:32.938
2.048000,0.487290,0.440680,0.359440,0.748898,0.749344,2025-02-05 05:00:32.938
2.058000,0.487560,0.441160,0.358890,0.749092,0.749342,2025-02-05 05:00:32.938
2.067000,0.488020,0.440960,0.359170,0.749408,0.749341,2025-02-05 05:00:32.966
2.076000,0.488070,0.440860,0.359200,0.749396,0.749368,2025-02-05 05:00:32.966
2.085000,0.488290,0.440590,0.359450,0.749500,0.749373,2025-02-05 05:00:32.966
2.095000,0.487990,0.441070,0.359400,0.749563,0.749339,2025-02-05 05:00:32.994
2.104000,0.487420,0.441030,0.359220,0.749083,0.749285,2025-02-05 05:00:32.994
2.113000,0.488120,0.440950,0.359290,0.749525,0.749284,2025-02-05 05:00:32.994
2.123000,0.487860,0.440770,0.359720,0.749456,0.749301,2025-02-05 05:00:33.022
2.132000,0.487950,0.441170,0.359930,0.749851,0.749377,2025-02-05 05:00:33.022
2.141000,0.487850,0.441040,0.359610,0.749555,0.749443,2025-02-05 05:00:33.022
2.151000,0.487840,0.440780,0.359330,0.749262,0.749460,2025-02-05 05:00:33.050
2.160000,0.487620,0.441090,0.359550,0.749406,0.749460,2025-02-05 05:00:33.050
2.169000,0.487810,0.440700,0.359410,0.749233,0.749443,2025-02-05 05:00:33.050
2.178000,0.488050,0.440240,0.359390,0.749110,0.749404,2025-02-05 05:00:33.078
2.188000,0.488400,0.440870,0.358970,0.749507,0.749399,2025-02-05 05:00:33.078
2.197000,0.488110,0.440680,0.359350,0.749388,0.749429,2025-02-05 05:00:33.078
2.206000,0.488290,0.441160,0.359720,0.749965,0.749473,2025-02-05 05:00:33.106
2.216000,0.488310,0.440960,0.359930,0.749961,0.749524,2025-02-05 05:00:33.106
2.225000,0.488740,0.441270,0.359190,0.750069,0.749546,2025-02-05 05:00:33.106
2.234000,0.488140,0.440970,0.359200,0.749506,0.749541,2025-02-05 05:00:33.133
2.244000,0.487870,0.440770,0.359030,0.749131,0.749528,2025-02-05 05:00:33.133
2.253000,0.487620,0.440590,0.359020,0.748858,0.749473,2025-02-05 05:00:33.133
2.262000,0.487490,0.440980,0.359180,0.749080,0.749458,2025-02-05 05:00:33.161
