Chiptime,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Temperature (°C),Longitude,Latitude
2024-12-14 2:0:58.814,0.0034,0.001,1.0073,25.25,0.0,0.0
2024-12-14 2:0:58.824,0.0,-0.0005,1.0049,25.12,0.0,0.0
2024-12-14 2:0:58.834,0.0034,0.0044,1.0049,25.06,0.0,0.0
2024-12-14 2:0:58.844,-0.0005,0.001,1.0068,25.25,0.0,0.0
2024-12-14 2:0:58.854,0.001,0.0015,1.0068,25.06,0.0,0.0
2024-12-14 2:0:58.864,0.0,0.0005,1.0073,25.25,0.0,0.0
2024-12-14 2:0:58.850,-0.001,0.0005,1.0044,25.06,0.0,0.0
2024-12-14 2:0:58.860,-0.0024,0.0015,1.0063,25.12,0.0,0.0
2024-12-14 2:0:58.870,-0.0015,-0.0005,1.0034,25.25,0.0,0.0
2024-12-14 2:0:58.880,-0.0005,-0.0005,1.0059,25.0,0.0,0.0
2024-12-14 2:0:58.904,-0.001,-0.001,1.0063,25.06,0.0,0.0
2024-12-14 2:0:58.914,0.0,-0.002,1.0103,25.12,0.0,0.0
2024-12-14 2:0:58.924,-0.0005,-0.0005,1.0034,24.87,0.0,0.0
2024-12-14 2:0:58.934,-0.0005,-0.0005,1.0073,25.12,0.0,0.0
2024-12-14 2:0:58.955,0.0,-0.0015,1.0049,25.25,0.0,0.0
2024-12-14 2:0:58.965,-0.0005,-0.0015,1.0093,25.0,0.0,0.0
2024-12-14 2:0:58.975,0.0005,0.0,1.0039,25.18,0.0,0.0
2024-12-14 2:0:58.985,0.001,0.0015,1.0063,25.12,0.0,0.0
2024-12-14 2:0:58.995,0.002,-0.0005,1.0039,25.12,0.0,0.0
2024-12-14 2:0:59.5,0.0015,0.002,1.0059,25.0,0.0,0.0
2024-12-14 2:0:59.15,0.0005,0.0,1.0044,25.18,0.0,0.0
2024-12-14 2:0:59.5,0.001,-0.001,1.0054,25.0,0.0,0.0
2024-12-14 2:0:59.15,0.0,-0.0005,1.002,25.06,0.0,0.0
2024-12-14 2:0:59.25,-0.002,0.0,1.0044,25.18,0.0,0.0
2024-12-14 2:0:59.35,-0.001,-0.0015,1.002,25.06,0.0,0.0
2024-12-14 2:0:59.54,0.0,0.0005,1.0039,25.12,0.0,0.0
2024-12-14 2:0:59.64,0.0,-0.002,1.0068,25.12,0.0,0.0
2024-12-14 2:0:59.74,-0.001,0.0,1.0073,25.18,0.0,0.0
