Time,X,Y,Z
3.434,0.12196,-0.23338,0.22565
3.443,0.1221,-0.23346,0.2255
3.453,0.12265,-0.23355,0.22549
3.462,0.12249,-0.23323,0.22515
3.471,0.12204,-0.23336,0.2252
3.481,0.12189,-0.23346,0.2252
3.49,0.1222,-0.2333,0.22563
3.5,0.12212,-0.23328,0.22567
3.509,0.122,-0.23312,0.22525
3.518,0.12253,-0.23327,0.22546
3.528,0.12291,-0.23328,0.22557
3.537,0.12273,-0.23295,0.22558
3.546,0.12271,-0.23325,0.22566
3.556,0.12292,-0.23361,0.22534
3.565,0.12316,-0.23373,0.22547
3.575,0.12286,-0.23366,0.22523
3.584,0.12251,-0.23365,0.22529
3.593,0.12226,-0.2334,0.22479
3.603,0.12234,-0.23363,0.22491
3.612,0.12289,-0.23332,0.22475
3.621,0.12273,-0.23329,0.22499
3.631,0.12336,-0.23345,0.22476
3.64,0.12288,-0.23338,0.22466
3.65,0.12316,-0.23338,0.2249
3.659,0.12286,-0.23354,0.22467
3.668,0.12272,-0.23339,0.22473
3.678,0.12228,-0.23329,0.22499
3.687,0.12245,-0.23345,0.22544
3.696,0.12258,-0.23322,0.22531
3.706,0.12291,-0.23319,0.22547
3.715,0.12294,-0.23344,0.22532
3.725,0.12241,-0.23321,0.2248
3.734,0.12182,-0.23336,0.22474
3.743,0.12219,-0.23312,0.22491
3.753,0.12223,-0.23335,0.22509
3.762,0.12234,-0.23337,0.22469
3.771,0.12235,-0.23363,0.22507
3.781,0.12278,-0.23373,0.22528
3.79,0.12261,-0.23391,0.22513
3.799,0.12216,-0.23385,0.22528
3.809,0.12276,-0.23417,0.22538
3.818,0.12271,-0.23387,0.22505
3.828,0.12239,-0.23351,0.22511
3.837,0.12171,-0.23314,0.22477
3.846,0.12272,-0.23318,0.22491
3.856,0.12206,-0.23319,0.22543
3.865,0.12264,-0.23311,0.22565
3.874,0.12206,-0.23335,0.22584
3.884,0.12221,-0.23371,0.22569
3.893,0.12244,-0.23366,0.22593
3.903,0.12236,-0.23299,0.22545
3.912,0.12235,-0.23325,0.22582
3.921,0.12224,-0.23336,0.22552
3.931,0.12255,-0.23354,0.22599
3.94,0.12237,-0.23381,0.2257
3.949,0.12278,-0.23375,0.22568
3.959,0.12282,-0.23325,0.22559
3.968,0.12315,-0.23403,0.22533
3.978,0.12286,-0.23419,0.22581
3.987,0.1224,-0.23396,0.22602
3.996,0.12257,-0.23352,0.22537
4.006,0.1227,-0.23347,0.22539
4.015,0.12195,-0.23338,0.22556
4.024,0.12285,-0.23371,0.22516
4.034,0.12251,-0.23374,0.22528
4.043,0.12226,-0.23341,0.22513
4.053,0.12266,-0.23304,0.22528
4.062,0.12184,-0.23301,0.22488
4.071,0.12208,-0.23351,0.22492
4.081,0.12254,-0.23381,0.22459
4.09,0.12291,-0.23409,0.2243
4.099,0.12262,-0.23361,0.22469
4.109,0.12324,-0.23373,0.22499
4.118,0.12265,-0.23366,0.22476
4.128,0.1226,-0.23407,0.22474
4.137,0.12248,-0.23395,0.22457
4.146,0.12269,-0.23418,0.22455
4.156,0.12249,-0.23362,0.22497
4.165,0.1229,-0.23348,0.22468
4.174,0.12251,-0.23364,0.22482
4.184,0.12269,-0.23374,0.22458
4.193,0.12292,-0.23333,0.22447
4.202,0.12316,-0.23362,0.22505
4.212,0.12286,-0.23332,0.22527
4.221,0.12283,-0.23412,0.22462
4.231,0.12283,-0.23345,0.22515
4.24,0.12261,-0.23355,0.22486
4.249,0.12313,-0.23348,0.22483
4.259,0.12351,-0.23364,0.22483
4.268,0.12268,-0.2334,0.22466
4.277,0.12271,-0.23388,0.22465
4.287,0.12292,-0.23376,0.22473
4.296,0.12273,-0.23358,0.22516
4.306,0.12239,-0.23323,0.22512
4.315,0.12246,-0.23386,0.22503
4.324,0.12301,-0.23376,0.22544
4.334,0.12317,-0.23341,0.22557
4.343,0.12276,-0.23363,0.22533
4.352,0.12282,-0.2339,0.22539
4.362,0.12283,-0.23368,0.22522
4.371,0.12261,-0.23374,0.22512
4.38,0.12227,-0.23375,0.22545
4.39,0.12266,-0.23408,0.22515
4.399,0.12217,-0.23445,0.22528
4.409,0.12233,-0.23373,0.22521
4.418,0.12278,-0.23375,0.22495
4.427,0.12261,-0.23425,0.22543
4.437,0.12281,-0.23371,0.22481
4.446,0.12261,-0.23366,0.22559
4.455,0.12216,-0.23374,0.22566
4.465,0.12255,-0.23366,0.22592
4.474,0.12237,-0.23365,0.22536
4.484,0.12224,-0.23365,0.22564
4.493,0.12212,-0.23407,0.22525
4.502,0.12222,-0.23386,0.22538
4.512,0.12212,-0.23342,0.22556
4.521,0.122,-0.23371,0.22524
4.53,0.12242,-0.23316,0.22496
4.54,0.12246,-0.23335,0.22526
4.549,0.12236,-0.23337,0.22471
4.559,0.1217,-0.23346,0.22524
4.568,0.12261,-0.23355,0.22512
4.577,0.12291,-0.23348,0.22528
4.587,0.12305,-0.23347,0.22547
4.596,0.12285,-0.23355,0.22532
4.605,0.12272,-0.23364,0.22547
4.615,0.12303,-0.23365,0.22515
4.624,0.12339,-0.23382,0.2252
4.633,0.12342,-0.23342,0.22529
4.643,0.12278,-0.23338,0.22547
4.652,0.12282,-0.23338,0.22565
4.662,0.12294,-0.23354,0.22575
4.671,0.12284,-0.23356,0.22543
4.68,0.12261,-0.23364,0.22531
4.69,0.12248,-0.2339,0.22513
4.699,0.12269,-0.23351,0.22511
4.708,0.12314,-0.23389,0.22503
4.718,0.12286,-0.23384,0.22527
4.727,0.12305,-0.23384,0.22496
4.737,0.12253,-0.23392,0.2251
4.746,0.12291,-0.23368,0.22536
4.755,0.12273,-0.23357,0.22514
4.765,0.12293,-0.23398,0.22486
4.774,0.1223,-0.23385,0.22492
