Time,X,Y,Z,Magnitude,Filtered Magnitude,Timestamp,Timestamp
1.610000,-0.418890,0.453850,0.323670,0.697288,0.696503,2025-02-05 03:39:28.648,2025-02-05 03:39:28.648
1.619000,-0.417430,0.453930,0.323590,0.696427,0.696477,2025-02-05 03:39:28.648,2025-02-05 03:39:28.657
1.628000,-0.417490,0.454270,0.323160,0.696485,0.696456,2025-02-05 03:39:28.648,2025-02-05 03:39:28.666
1.638000,-0.418150,0.454220,0.322940,0.696746,0.696531,2025-02-05 03:39:28.676,2025-02-05 03:39:28.676
1.647000,-0.417670,0.453710,0.323430,0.696353,0.696572,2025-02-05 03:39:28.676,2025-02-05 03:39:28.685
1.657000,-0.417630,0.453660,0.323390,0.696278,0.696578,2025-02-05 03:39:28.676,2025-02-05 03:39:28.695
1.666000,-0.417520,0.453910,0.323220,0.696296,0.696558,2025-02-05 03:39:28.705,2025-02-05 03:39:28.705
1.675000,-0.417830,0.454100,0.322950,0.696481,0.696588,2025-02-05 03:39:28.705,2025-02-05 03:39:28.714
1.685000,-0.417970,0.454200,0.322760,0.696542,0.696596,2025-02-05 03:39:28.705,2025-02-05 03:39:28.723
1.694000,-0.417980,0.454210,0.322900,0.696619,0.696552,2025-02-05 03:39:28.733,2025-02-05 03:39:28.733
1.704000,-0.418300,0.454050,0.323260,0.696874,0.696510,2025-02-05 03:39:28.733,2025-02-05 03:39:28.742
1.713000,-0.417800,0.454700,0.323210,0.696975,0.696565,2025-02-05 03:39:28.733,2025-02-05 03:39:28.751
1.722000,-0.417960,0.454260,0.322450,0.696431,0.696560,2025-02-05 03:39:28.761,2025-02-05 03:39:28.761
1.732000,-0.417760,0.454050,0.323040,0.696448,0.696530,2025-02-05 03:39:28.761,2025-02-05 03:39:28.770
1.741000,-0.417640,0.454030,0.323100,0.696391,0.696533,2025-02-05 03:39:28.761,2025-02-05 03:39:28.779
1.750000,-0.418050,0.454200,0.323110,0.696752,0.696581,2025-02-05 03:39:28.789,2025-02-05 03:39:28.789
1.760000,-0.418420,0.454210,0.323110,0.696981,0.696649,2025-02-05 03:39:28.789,2025-02-05 03:39:28.798
1.769000,-0.418240,0.454470,0.323450,0.697200,0.696721,2025-02-05 03:39:28.789,2025-02-05 03:39:28.807
1.779000,-0.417790,0.454580,0.323140,0.696858,0.696753,2025-02-05 03:39:28.817,2025-02-05 03:39:28.817
1.788000,-0.417960,0.454170,0.323110,0.696679,0.696759,2025-02-05 03:39:28.817,2025-02-05 03:39:28.826
1.797000,-0.418090,0.454210,0.323190,0.696820,0.696753,2025-02-05 03:39:28.817,2025-02-05 03:39:28.835
1.807000,-0.418100,0.454220,0.323290,0.696879,0.696744,2025-02-05 03:39:28.845,2025-02-05 03:39:28.845
1.816000,-0.418210,0.453960,0.322960,0.696622,0.696763,2025-02-05 03:39:28.845,2025-02-05 03:39:28.854
1.825000,-0.418220,0.454020,0.323430,0.696885,0.696807,2025-02-05 03:39:28.845,2025-02-05 03:39:28.863
1.835000,-0.418110,0.454200,0.323480,0.696960,0.696863,2025-02-05 03:39:28.873,2025-02-05 03:39:28.873
1.844000,-0.417780,0.453630,0.323060,0.696195,0.696808,2025-02-05 03:39:28.873,2025-02-05 03:39:28.882
1.854000,-0.417530,0.453660,0.323190,0.696125,0.696722,2025-02-05 03:39:28.873,2025-02-05 03:39:28.892
1.863000,-0.417940,0.453740,0.323540,0.696586,0.696661,2025-02-05 03:39:28.902,2025-02-05 03:39:28.902
1.872000,-0.417440,0.453920,0.322980,0.696143,0.696589,2025-02-05 03:39:28.902,2025-02-05 03:39:28.911
1.882000,-0.418140,0.453680,0.322930,0.696384,0.696560,2025-02-05 03:39:28.902,2025-02-05 03:39:28.920
1.891000,-0.418640,0.453830,0.322920,0.696777,0.696556,2025-02-05 03:39:28.930,2025-02-05 03:39:28.930
1.900000,-0.418260,0.453840,0.322840,0.696518,0.696520,2025-02-05 03:39:28.930,2025-02-05 03:39:28.939
1.910000,-0.418330,0.453930,0.323170,0.696772,0.696535,2025-02-05 03:39:28.930,2025-02-05 03:39:28.948
1.919000,-0.418450,0.453770,0.323200,0.696754,0.696522,2025-02-05 03:39:28.958,2025-02-05 03:39:28.958
1.929000,-0.418030,0.453840,0.323200,0.696547,0.696480,2025-02-05 03:39:28.958,2025-02-05 03:39:28.967
1.938000,-0.418310,0.453680,0.323290,0.696653,0.696526,2025-02-05 03:39:28.958,2025-02-05 03:39:28.976
1.947000,-0.418550,0.454250,0.323130,0.697094,0.696623,2025-02-05 03:39:28.986,2025-02-05 03:39:28.986
1.957000,-0.418690,0.453550,0.322940,0.696634,0.696628,2025-02-05 03:39:28.986,2025-02-05 03:39:28.995
1.966000,-0.417940,0.453980,0.323260,0.696612,0.696675,2025-02-05 03:39:28.986,2025-02-05 03:39:29.004
1.975000,-0.418410,0.453610,0.323290,0.696667,0.696703,2025-02-05 03:39:29.014,2025-02-05 03:39:29.014
1.985000,-0.418130,0.453740,0.323300,0.696589,0.696684,2025-02-05 03:39:29.014,2025-02-05 03:39:29.023
1.994000,-0.418320,0.453830,0.323380,0.696798,0.696712,2025-02-05 03:39:29.014,2025-02-05 03:39:29.032
2.004000,-0.418450,0.454010,0.322800,0.696725,0.696707,2025-02-05 03:39:29.042,2025-02-05 03:39:29.042
2.013000,-0.418240,0.454280,0.323250,0.696983,0.696730,2025-02-05 03:39:29.042,2025-02-05 03:39:29.051
2.022000,-0.418220,0.454220,0.322950,0.696793,0.696755,2025-02-05 03:39:29.042,2025-02-05 03:39:29.061
2.032000,-0.418540,0.453800,0.323180,0.696818,0.696771,2025-02-05 03:39:29.071,2025-02-05 03:39:29.071
2.041000,-0.418360,0.454010,0.322780,0.696661,0.696728,2025-02-05 03:39:29.071,2025-02-05 03:39:29.080
2.051000,-0.418240,0.454190,0.322820,0.696725,0.696737,2025-02-05 03:39:29.071,2025-02-05 03:39:29.089
2.060000,-0.418220,0.453800,0.323080,0.696580,0.696734,2025-02-05 03:39:29.099,2025-02-05 03:39:29.099
2.069000,-0.418220,0.453920,0.323270,0.696746,0.696742,2025-02-05 03:39:29.099,2025-02-05 03:39:29.108
2.079000,-0.418650,0.454020,0.323380,0.697120,0.696795,2025-02-05 03:39:29.099,2025-02-05 03:39:29.117
2.088000,-0.418480,0.454030,0.323300,0.696988,0.696814,2025-02-05 03:39:29.127,2025-02-05 03:39:29.127
2.098000,-0.417920,0.454280,0.323130,0.696736,0.696815,2025-02-05 03:39:29.127,2025-02-05 03:39:29.136
2.107000,-0.418080,0.454060,0.323030,0.696642,0.696781,2025-02-05 03:39:29.127,2025-02-05 03:39:29.145
2.116000,-0.418210,0.454200,0.323180,0.696881,0.696790,2025-02-05 03:39:29.155,2025-02-05 03:39:29.155
